pathway	pathway	pval	padj
FGFR2 MUTANT RECEPTOR ACTIVATION%REACTOME DATABASE ID RELEASE 80%1839126	FGFR2 MUTANT RECEPTOR ACTIVATION%REACTOME DATABASE ID RELEASE 80%1839126	0.0872641509433962	0.208102489489054
FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4136%HOMO SAPIENS	FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4136%HOMO SAPIENS	0.268128161888702	0.438801078495822
FLT3 SIGNALING IN DISEASE%REACTOME DATABASE ID RELEASE 80%9682385	FLT3 SIGNALING IN DISEASE%REACTOME DATABASE ID RELEASE 80%9682385	0.563725490196078	0.730070716811315
FLT3 SIGNALING%REACTOME%R-HSA-9607240.6	FLT3 SIGNALING%REACTOME%R-HSA-9607240.6	0.0436817472698908	0.131668201261087
FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS	FLUOROPYRIMIDINE ACTIVITY%WIKIPATHWAYS_20220510%WP1601%HOMO SAPIENS	0.0687285223367698	0.178531696285632
FOCAL ADHESION%WIKIPATHWAYS_20220510%WP306%HOMO SAPIENS	FOCAL ADHESION%WIKIPATHWAYS_20220510%WP306%HOMO SAPIENS	1.4904851112529e-07	5.69158285237729e-06
FOCAL ADHESION: PI3K-AKT-MTOR-SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP3932%HOMO SAPIENS	FOCAL ADHESION: PI3K-AKT-MTOR-SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP3932%HOMO SAPIENS	0.00470024527053348	0.0270139757942698
FOLATE METABOLISM%WIKIPATHWAYS_20220510%WP176%HOMO SAPIENS	FOLATE METABOLISM%WIKIPATHWAYS_20220510%WP176%HOMO SAPIENS	0.108958837772397	0.239325716228935
FOLLICLE STIMULATING HORMONE (FSH) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2035%HOMO SAPIENS	FOLLICLE STIMULATING HORMONE (FSH) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2035%HOMO SAPIENS	0.303602058319039	0.483559729983954
FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	0.987730061349693	0.997791486693325
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 80%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 80%72689	2.36676365060648e-38	7.11855713741693e-36
FORMATION OF CYTOPLASMIC TRANSLATION INITIATION COMPLEX%GOBP%GO:0001732	FORMATION OF CYTOPLASMIC TRANSLATION INITIATION COMPLEX%GOBP%GO:0001732	0.00038271730365393	0.00412659649557699
FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME%R-HSA-140877.2	FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME%R-HSA-140877.2	0.102915951972556	0.231442884202694
FORMATION OF HIV ELONGATION COMPLEX IN THE ABSENCE OF HIV TAT%REACTOME DATABASE ID RELEASE 80%167152	FORMATION OF HIV ELONGATION COMPLEX IN THE ABSENCE OF HIV TAT%REACTOME DATABASE ID RELEASE 80%167152	0.451523545706371	0.631842127566565
FORMATION OF HIV-1 ELONGATION COMPLEX CONTAINING HIV-1 TAT%REACTOME DATABASE ID RELEASE 80%167200	FORMATION OF HIV-1 ELONGATION COMPLEX CONTAINING HIV-1 TAT%REACTOME DATABASE ID RELEASE 80%167200	0.68010752688172	0.812724753658162
FORMATION OF INCISION COMPLEX IN GG-NER%REACTOME%R-HSA-5696395.1	FORMATION OF INCISION COMPLEX IN GG-NER%REACTOME%R-HSA-5696395.1	0.00109245629842416	0.00907227117672907
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	0.110169491525424	0.241030433372591
FORMATION OF RNA POL II ELONGATION COMPLEX%REACTOME DATABASE ID RELEASE 80%112382	FORMATION OF RNA POL II ELONGATION COMPLEX%REACTOME DATABASE ID RELEASE 80%112382	0.230320699708455	0.39260236964819
FORMATION OF TC-NER PRE-INCISION COMPLEX%REACTOME DATABASE ID RELEASE 80%6781823	FORMATION OF TC-NER PRE-INCISION COMPLEX%REACTOME DATABASE ID RELEASE 80%6781823	0.00888631087039206	0.0437766674964325
FORMATION OF THE BETA-CATENIN:TCF TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 80%201722	FORMATION OF THE BETA-CATENIN:TCF TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 80%201722	0.650485436893204	0.791919087503774
FORMATION OF THE EARLY ELONGATION COMPLEX%REACTOME DATABASE ID RELEASE 80%113418	FORMATION OF THE EARLY ELONGATION COMPLEX%REACTOME DATABASE ID RELEASE 80%113418	0.846875	0.920608425068802
FORMATION OF THE HIV-1 EARLY ELONGATION COMPLEX%REACTOME%R-HSA-167158.2	FORMATION OF THE HIV-1 EARLY ELONGATION COMPLEX%REACTOME%R-HSA-167158.2	0.846875	0.920608425068802
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME DATABASE ID RELEASE 80%72695	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME DATABASE ID RELEASE 80%72695	2.12674997489945e-16	1.49044010337712e-14
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%R-HSA-389960.2	FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%R-HSA-389960.2	0.0613207547169811	0.165695696048062
FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK	FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK	0.92967409948542	0.972536204310943
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	0.733496332518337	0.850163574920139
FOXO FAMILY SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXO FAMILY SIGNALING	FOXO FAMILY SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXO FAMILY SIGNALING	0.0308705587750315	0.1079103603198
FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 80%9615017	FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 80%9615017	0.13840830449827	0.281546855358138
FOXO-MEDIATED TRANSCRIPTION%REACTOME%R-HSA-9614085.2	FOXO-MEDIATED TRANSCRIPTION%REACTOME%R-HSA-9614085.2	0.0382315543426505	0.123323016791994
FRAGILE X SYNDROME%WIKIPATHWAYS_20220510%WP4549%HOMO SAPIENS	FRAGILE X SYNDROME%WIKIPATHWAYS_20220510%WP4549%HOMO SAPIENS	0.00474461948509573	0.027197060241083
FUMARASE DEFICIENCY%SMPDB%SMP0000547	FUMARASE DEFICIENCY%SMPDB%SMP0000547	0.105134474327628	0.233889363906433
G ALPHA (12 13) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%416482	G ALPHA (12 13) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%416482	0.00882079984705364	0.0435032637178752
G ALPHA (I) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418594	G ALPHA (I) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418594	0.000453025124069144	0.00470845263765086
G ALPHA (Q) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%416476	G ALPHA (Q) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%416476	0.00031387142255046	0.0035514878410983
G ALPHA (S) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418555	G ALPHA (S) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418555	2.07278242472271e-06	6.08529705095958e-05
G ALPHA (Z) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418597	G ALPHA (Z) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 80%418597	1.78393178190576e-05	0.000360520167087466
G BETA:GAMMA SIGNALLING THROUGH PI3KGAMMA%REACTOME DATABASE ID RELEASE 80%392451	G BETA:GAMMA SIGNALLING THROUGH PI3KGAMMA%REACTOME DATABASE ID RELEASE 80%392451	0.0209142408163604	0.0818670057180954
G PROTEIN SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP35%HOMO SAPIENS	G PROTEIN SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP35%HOMO SAPIENS	0.00175291811802888	0.0129531109231896
G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	2.97434964482529e-07	1.07696243389716e-05
G-CSF%IOB%G-CSF	G-CSF%IOB%G-CSF	0.00181900629943917	0.0133281321603089
G-PROTEIN BETA:GAMMA SIGNALLING%REACTOME DATABASE ID RELEASE 80%397795	G-PROTEIN BETA:GAMMA SIGNALLING%REACTOME DATABASE ID RELEASE 80%397795	0.0267228801640351	0.0979012768235518
G-PROTEIN MEDIATED EVENTS%REACTOME DATABASE ID RELEASE 80%112040	G-PROTEIN MEDIATED EVENTS%REACTOME DATABASE ID RELEASE 80%112040	0.000365646670138057	0.00397183695437465
G0 AND EARLY G1%REACTOME%R-HSA-1538133.3	G0 AND EARLY G1%REACTOME%R-HSA-1538133.3	0.404721753794266	0.587348031792476
G1 PHASE%REACTOME%R-HSA-69236.4	G1 PHASE%REACTOME%R-HSA-69236.4	0.311111111111111	0.492271586954762
G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.2	G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.2	1.828119237768e-06	5.44053293705614e-05
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 80%69206	G1 S TRANSITION%REACTOME DATABASE ID RELEASE 80%69206	0.00389656506458325	0.0236460547564445
G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.3	G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.3	0.370497427101201	0.555107351984385
G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20220510%WP45%HOMO SAPIENS	G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20220510%WP45%HOMO SAPIENS	0.786271450858034	0.884997408269417
G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	0.0255176549602375	0.0945219188424824
G13 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP524%HOMO SAPIENS	G13 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP524%HOMO SAPIENS	0.13728813559322	0.280487089201878
G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 80%69481	G2 M CHECKPOINTS%REACTOME DATABASE ID RELEASE 80%69481	0.000978751806245967	0.00840449920580776
G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.5	G2 M DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69473.5	0.867579908675799	0.937253780009037
G2 M TRANSITION%REACTOME DATABASE ID RELEASE 80%69275	G2 M TRANSITION%REACTOME DATABASE ID RELEASE 80%69275	0.0027504151437222	0.0181895796034596
G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000086	G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000086	0.0152685329965474	0.0646606002631563
GABA B RECEPTOR ACTIVATION%REACTOME%R-HSA-977444.3	GABA B RECEPTOR ACTIVATION%REACTOME%R-HSA-977444.3	0.00483764463765493	0.0275269516051299
GABA RECEPTOR ACTIVATION%REACTOME%R-HSA-977443.5	GABA RECEPTOR ACTIVATION%REACTOME%R-HSA-977443.5	0.00460558253617061	0.0265401274796569
GAMETE GENERATION%GOBP%GO:0007276	GAMETE GENERATION%GOBP%GO:0007276	0.194010416666667	0.352267137658448
GAMMA CARBOXYLATION, HYPUSINE FORMATION AND ARYLSULFATASE ACTIVATION%REACTOME DATABASE ID RELEASE 80%163841	GAMMA CARBOXYLATION, HYPUSINE FORMATION AND ARYLSULFATASE ACTIVATION%REACTOME DATABASE ID RELEASE 80%163841	0.109612141652614	0.240052800141435
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME DATABASE ID RELEASE 80%5696397	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME DATABASE ID RELEASE 80%5696397	0.00125019417962568	0.0100780959377989
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME DATABASE ID RELEASE 80%6782210	GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME DATABASE ID RELEASE 80%6782210	0.0019264150042039	0.013848678489398
GASTRIC CANCER NETWORK 2%WIKIPATHWAYS_20220510%WP2363%HOMO SAPIENS	GASTRIC CANCER NETWORK 2%WIKIPATHWAYS_20220510%WP2363%HOMO SAPIENS	0.191747572815534	0.350649496583963
GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4659%HOMO SAPIENS	GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4659%HOMO SAPIENS	0.00410032565464649	0.0244053629718342
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	3.59115956034187e-08	1.71468003183356e-06
GASTRULATION%GOBP%GO:0007369	GASTRULATION%GOBP%GO:0007369	0.146067415730337	0.292202081652079
GENE AND PROTEIN EXPRESSION BY JAK-STAT SIGNALING AFTER INTERLEUKIN-12 STIMULATION%REACTOME DATABASE ID RELEASE 80%8950505	GENE AND PROTEIN EXPRESSION BY JAK-STAT SIGNALING AFTER INTERLEUKIN-12 STIMULATION%REACTOME DATABASE ID RELEASE 80%8950505	0.0587225906961516	0.161487124414417
GENE SILENCING BY RNA%GOBP%GO:0031047	GENE SILENCING BY RNA%GOBP%GO:0031047	0.766763848396501	0.874203338043243
GENE SILENCING BY RNA%REACTOME DATABASE ID RELEASE 80%211000	GENE SILENCING BY RNA%REACTOME DATABASE ID RELEASE 80%211000	0.096278250074833	0.221338093426005
GENERAL TRANSCRIPTION REGULATION%PANTHER PATHWAY%P00023	GENERAL TRANSCRIPTION REGULATION%PANTHER PATHWAY%P00023	0.087378640776699	0.20814703628002
GENERATION OF NEURONS%GOBP%GO:0048699	GENERATION OF NEURONS%GOBP%GO:0048699	0.000655636283169786	0.0061395251085619
GENERATION OF PRECURSOR METABOLITES AND ENERGY%GOBP%GO:0006091	GENERATION OF PRECURSOR METABOLITES AND ENERGY%GOBP%GO:0006091	0.0248735272352639	0.0927686487873146
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.3	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME%R-HSA-202433.3	0.0216740382386534	0.0839337755320401
GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20220510%WP4536%HOMO SAPIENS	GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20220510%WP4536%HOMO SAPIENS	0.249275362318841	0.415937576526637
GERM CELL DEVELOPMENT%GOBP%GO:0007281	GERM CELL DEVELOPMENT%GOBP%GO:0007281	0.989329268292683	0.99852164244639
GLAND DEVELOPMENT%GOBP%GO:0048732	GLAND DEVELOPMENT%GOBP%GO:0048732	0.408736349453978	0.591198215172282
GLI3 IS PROCESSED TO GLI3R BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 80%5610785	GLI3 IS PROCESSED TO GLI3R BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 80%5610785	1.93466101716344e-05	0.000378653248629511
GLIAL CELL DEVELOPMENT%GOBP%GO:0021782	GLIAL CELL DEVELOPMENT%GOBP%GO:0021782	0.6725	0.807631978993919
GLIAL CELL DIFFERENTIATION%GOBP%GO:0010001	GLIAL CELL DIFFERENTIATION%GOBP%GO:0010001	0.965678627145086	0.989939413201736
GLIOBLASTOMA SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP2261%HOMO SAPIENS	GLIOBLASTOMA SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP2261%HOMO SAPIENS	0.0914634146341463	0.215350008434357
GLIOGENESIS%GOBP%GO:0042063	GLIOGENESIS%GOBP%GO:0042063	0.959537572254335	0.988194062916588
GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR (GG-NER)%REACTOME DATABASE ID RELEASE 80%5696399	GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR (GG-NER)%REACTOME DATABASE ID RELEASE 80%5696399	0.00116552970270328	0.00959133817849571
GLUCAGON SIGNALING IN METABOLIC REGULATION%REACTOME DATABASE ID RELEASE 80%163359	GLUCAGON SIGNALING IN METABOLIC REGULATION%REACTOME DATABASE ID RELEASE 80%163359	0.00210183941609322	0.0148254744528004
GLUCAGON-LIKE PEPTIDE-1 (GLP1) REGULATES INSULIN SECRETION%REACTOME%R-HSA-381676.4	GLUCAGON-LIKE PEPTIDE-1 (GLP1) REGULATES INSULIN SECRETION%REACTOME%R-HSA-381676.4	0.0125502480098567	0.0569487181703467
GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2880%HOMO SAPIENS	GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2880%HOMO SAPIENS	0.306068601583113	0.486240612021436
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	0.0025791676215352	0.0172142600853617
GLUCONEOGENESIS%BIOCYC%PWY66-399	GLUCONEOGENESIS%BIOCYC%PWY66-399	0.970588235294118	0.991438797640172
GLUCONEOGENESIS%REACTOME DATABASE ID RELEASE 80%70263	GLUCONEOGENESIS%REACTOME DATABASE ID RELEASE 80%70263	0.47563025210084	0.65482048332641
GLUCOSE HOMEOSTASIS%GOBP%GO:0042593	GLUCOSE HOMEOSTASIS%GOBP%GO:0042593	0.364457831325301	0.549468867837763
GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	0.0733229329173167	0.185947516025641
GLUCOSE METABOLISM%REACTOME DATABASE ID RELEASE 80%70326	GLUCOSE METABOLISM%REACTOME DATABASE ID RELEASE 80%70326	0.750356633380884	0.864571618149017
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064	GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064	0.1578073089701	0.305694497313902
GLUTAMINOLYSIS AND CANCER%SMPDB%SMP0002298	GLUTAMINOLYSIS AND CANCER%SMPDB%SMP0002298	0.338842975206612	0.520053948171221
GLUTATHIONE CONJUGATION%REACTOME%R-HSA-156590.2	GLUTATHIONE CONJUGATION%REACTOME%R-HSA-156590.2	0.578414839797639	0.739101606515257
GLUTATHIONE METABOLIC PROCESS%GOBP%GO:0006749	GLUTATHIONE METABOLIC PROCESS%GOBP%GO:0006749	0.0789915966386555	0.194568303511881
GLYCEROLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0045017	GLYCEROLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0045017	0.000591302527789638	0.00574767222202679
GLYCEROLIPID CATABOLIC PROCESS%GOBP%GO:0046503	GLYCEROLIPID CATABOLIC PROCESS%GOBP%GO:0046503	0.129032258064516	0.268894561769939
GLYCEROLIPID METABOLIC PROCESS%GOBP%GO:0046486	GLYCEROLIPID METABOLIC PROCESS%GOBP%GO:0046486	0.000898489697188022	0.00783923239815653
GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME%R-HSA-1483206.4	GLYCEROPHOSPHOLIPID BIOSYNTHESIS%REACTOME%R-HSA-1483206.4	7.61047846350934e-05	0.00113134998808569
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20220510%WP2533%HOMO SAPIENS	GLYCEROPHOSPHOLIPID BIOSYNTHETIC PATHWAY%WIKIPATHWAYS_20220510%WP2533%HOMO SAPIENS	0.0622837370242214	0.167257625074315
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046474	GLYCEROPHOSPHOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0046474	0.000836193146693488	0.0073696941630491
GLYCEROPHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006650	GLYCEROPHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:0006650	0.000617749817491171	0.00587335439168301
GLYCOGEN METABOLISM%REACTOME%R-HSA-8982491.1	GLYCOGEN METABOLISM%REACTOME%R-HSA-8982491.1	0.0920096852300242	0.21604047651439
GLYCOGEN SYNTHESIS AND DEGRADATION%WIKIPATHWAYS_20220510%WP500%HOMO SAPIENS	GLYCOGEN SYNTHESIS AND DEGRADATION%WIKIPATHWAYS_20220510%WP500%HOMO SAPIENS	0.452614379084967	0.632757232021938
GLYCOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0009247	GLYCOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0009247	1	1
GLYCOLIPID METABOLIC PROCESS%GOBP%GO:0006664	GLYCOLIPID METABOLIC PROCESS%GOBP%GO:0006664	0.992389649923896	0.999213265553135
GLYCOLYSIS AND GLUCONEOGENESIS%WIKIPATHWAYS_20220510%WP534%HOMO SAPIENS	GLYCOLYSIS AND GLUCONEOGENESIS%WIKIPATHWAYS_20220510%WP534%HOMO SAPIENS	0.18213058419244	0.337898116275043
GLYCOLYSIS%BIOCYC%PWY66-400	GLYCOLYSIS%BIOCYC%PWY66-400	0.0548885077186964	0.152878567972908
GLYCOLYSIS%REACTOME%R-HSA-70171.6	GLYCOLYSIS%REACTOME%R-HSA-70171.6	0.895280235988201	0.952262576589653
GLYCOLYTIC PROCESS%GOBP%GO:0006096	GLYCOLYTIC PROCESS%GOBP%GO:0006096	0.15008431703204	0.296686240902737
GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	0.012683722193203	0.0573473183449189
GLYCOPROTEIN METABOLIC PROCESS%GOBP%GO:0009100	GLYCOPROTEIN METABOLIC PROCESS%GOBP%GO:0009100	0.000342992998905678	0.0038209763714011
GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS%GOBP%GO:0006024	0.00292657203867538	0.0189845609894329
GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203	GLYCOSAMINOGLYCAN METABOLIC PROCESS%GOBP%GO:0030203	0.00777082816284096	0.0398163306221037
GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 80%1630316	GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 80%1630316	0.0294207112471322	0.10384483376831
GLYCOSPHINGOLIPID METABOLIC PROCESS%GOBP%GO:0006687	GLYCOSPHINGOLIPID METABOLIC PROCESS%GOBP%GO:0006687	0.826797385620915	0.909246935085516
GLYCOSPHINGOLIPID METABOLISM%REACTOME DATABASE ID RELEASE 80%1660662	GLYCOSPHINGOLIPID METABOLISM%REACTOME DATABASE ID RELEASE 80%1660662	0.59468438538206	0.748740554762402
GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658	GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658	0.971360381861575	0.991509782207457
GLYCOSYL COMPOUND METABOLIC PROCESS%GOBP%GO:1901657	GLYCOSYL COMPOUND METABOLIC PROCESS%GOBP%GO:1901657	0.673534072900158	0.808650330685601
GLYCOSYLATION%GOBP%GO:0070085	GLYCOSYLATION%GOBP%GO:0070085	0.096128170894526	0.221321123014595
GM-CSF%IOB%GM-CSF	GM-CSF%IOB%GM-CSF	0.00163080503559843	0.0122380792395081
GMCSF-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GMCSF-MEDIATED SIGNALING EVENTS	GMCSF-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GMCSF-MEDIATED SIGNALING EVENTS	0.00176116058792694	0.012991923182585
GNRH SIGNALING PATHWAY%PATHWHIZ%PW064816	GNRH SIGNALING PATHWAY%PATHWHIZ%PW064816	6.65689205290591e-05	0.00100781170626746
GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME%R-HSA-432722.3	GOLGI ASSOCIATED VESICLE BIOGENESIS%REACTOME%R-HSA-432722.3	0.0022297027627396	0.0155008936065657
GOLGI ORGANIZATION%GOBP%GO:0007030	GOLGI ORGANIZATION%GOBP%GO:0007030	0.748648648648649	0.86329044012165
GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT%GOBP%GO:0043001	GOLGI TO PLASMA MEMBRANE PROTEIN TRANSPORT%GOBP%GO:0043001	0.991830065359477	0.999188878735666
GOLGI TO PLASMA MEMBRANE TRANSPORT%GOBP%GO:0006893	GOLGI TO PLASMA MEMBRANE TRANSPORT%GOBP%GO:0006893	0.92436974789916	0.969439187695353
GOLGI TO VACUOLE TRANSPORT%GOBP%GO:0006896	GOLGI TO VACUOLE TRANSPORT%GOBP%GO:0006896	0.0173514225389309	0.0713263301150942
GOLGI VESICLE TRANSPORT%GOBP%GO:0048193	GOLGI VESICLE TRANSPORT%GOBP%GO:0048193	0.445368171021378	0.625844334609152
GOLGI-TO-ER RETROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 80%8856688	GOLGI-TO-ER RETROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 80%8856688	0.201079622132254	0.357776805145226
GONAD DEVELOPMENT%GOBP%GO:0008406	GONAD DEVELOPMENT%GOBP%GO:0008406	0.535452322738386	0.706725498875543
GOUT OR KELLEY-SEEGMILLER SYNDROME%SMPDB%SMP0000365	GOUT OR KELLEY-SEEGMILLER SYNDROME%SMPDB%SMP0000365	0.884430176565008	0.946281486622743
GPCR DOWNSTREAM SIGNALLING%REACTOME DATABASE ID RELEASE 80%388396	GPCR DOWNSTREAM SIGNALLING%REACTOME DATABASE ID RELEASE 80%388396	2.76329589107203e-07	1.00895131484941e-05
GPCR LIGAND BINDING%REACTOME DATABASE ID RELEASE 80%500792	GPCR LIGAND BINDING%REACTOME DATABASE ID RELEASE 80%500792	0.0395314787701318	0.125731528895391
